"","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted"
"1",38.68,39.06,38.05,38.7,12405100,38.7
"2",38.59,39.14,38.26,38.9,6318400,38.9
"3",38.72,38.79,37.6,38.37,6619700,38.37
"4",38.22,38.31,37.17,37.5,6783000,37.5
"5",37.6,38.06,37.34,37.78,5703000,37.78
"6",37.49,37.7,37.07,37.15,6527500,37.15
"7",37.17,38,37.17,37.4,6465600,37.4
"8",37.36,38.21,37.27,38.2,4466400,38.2
"9",38.4,38.89,37.97,38.66,5643700,38.66
"10",38.7,39,37.78,37.88,5026800,37.88
"11",37.5,37.65,36.72,36.98,9105000,36.98
"12",36.69,37.48,36.6,37.02,6095900,37.02
"13",37.65,37.9,36.8,36.95,8317000,36.95
"14",36.9,37.07,36.3,36.43,5313600,36.43
"15",36.51,37.36,36.5,37.26,5271700,37.26
"16",38.08,38.23,36.78,37.08,6747600,37.08
"17",37.26,37.26,36.3,36.85,4139300,36.85
"18",36.7,37.45,36.54,37.43,7395000,37.43
"19",37.29,37.42,36.63,37.05,4813500,37.05
"20",36.95,38.19,36.76,37.67,7277500,37.67
"21",37.95,39.3,37.85,38.7,26123100,38.7
"22",37.23,37.74,36.68,37.39,25850700,37.39
"23",37.25,37.42,36.77,37.16,6110900,37.16
"24",37.2,38.41,37.08,38.27,8612700,38.27
"25",38.49,39.52,38.4,38.98,10503200,38.98
"26",38.95,39.51,38.67,39.1,5483600,39.1
"27",39.19,39.31,38.66,38.72,5960100,38.72
"28",38.79,38.99,38.36,38.85,3835700,38.85
"29",38.85,39.61,38.85,39.31,4505500,39.31
"30",39.23,40.28,39.14,40.14,6814100,40.14
"31",40.14,40.32,39.86,40.06,5088200,40.06
"32",39.9,40.44,39.87,40.33,4679000,40.33
"33",40.13,41.74,40,41.51,8903400,41.51
"34",41.19,41.32,40.92,41.26,4508400,41.26
"35",41.4,42,40.89,41,4926100,41
